2022-09-01 19:46:58,306 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 19:46:58,307 | INFO | _connect called
2022-09-01 19:46:58,307 | INFO | _connect called
2022-09-01 19:47:15,848 | INFO | Starting autotrader at 1662076035.8483605
2022-09-01 19:47:15,848 | INFO | Starting autotrader at 1662076035.8483605
2022-09-01 19:47:22,295 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 19:47:22,295 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 19:47:22,295 | INFO | _connect called
2022-09-01 19:47:22,295 | INFO | _connect called
2022-09-01 19:48:08,729 | INFO | Subscribing to {'channel': 'ticker', 'market': 'MATIC-PERP'}
2022-09-01 19:48:08,729 | INFO | Subscribing to {'channel': 'ticker', 'market': 'MATIC-PERP'}
2022-09-01 20:06:20,578 | INFO | Starting autotrader at 1662077180.5780091
2022-09-01 20:06:20,578 | INFO | Starting autotrader at 1662077180.5780091
2022-09-01 20:06:28,639 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 20:06:28,639 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 20:06:28,640 | INFO | _connect called
2022-09-01 20:06:28,640 | INFO | _connect called
2022-09-01 20:06:31,595 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-01 20:06:31,595 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-01 20:06:53,484 | INFO | Subscribing to {'channel': 'ticker', 'market': 'MATIC-PERP'}
2022-09-01 20:06:53,484 | INFO | Subscribing to {'channel': 'ticker', 'market': 'MATIC-PERP'}
2022-09-01 20:06:54,737 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-01 20:06:54,737 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-01 23:04:45,944 | INFO | Starting autotrader at 1662087885.9444842
2022-09-01 23:04:45,944 | INFO | Starting autotrader at 1662087885.9444842
2022-09-01 23:04:50,756 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 23:04:50,756 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 23:04:50,757 | INFO | _connect called
2022-09-01 23:04:50,757 | INFO | _connect called
2022-09-01 23:30:33,105 | INFO | Starting autotrader at 1662089433.1052153
2022-09-01 23:30:33,105 | INFO | Starting autotrader at 1662089433.1052153
2022-09-01 23:30:37,958 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 23:30:37,958 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-01 23:30:37,958 | INFO | _connect called
2022-09-01 23:30:37,958 | INFO | _connect called
2022-09-02 00:04:37,043 | INFO | Starting autotrader at 1662091477.0432322
2022-09-02 00:04:37,043 | INFO | Starting autotrader at 1662091477.0432322
2022-09-02 00:04:43,593 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-02 00:04:43,593 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-02 00:04:43,593 | INFO | _connect called
2022-09-02 00:04:43,593 | INFO | _connect called
2022-09-02 00:21:46,873 | INFO | Starting autotrader at 1662092506.8733325
2022-09-02 00:21:46,873 | INFO | Starting autotrader at 1662092506.8733325
2022-09-02 00:21:51,589 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-02 00:21:51,589 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-02 00:21:51,590 | INFO | _connect called
2022-09-02 00:21:51,590 | INFO | _connect called
2022-09-03 23:39:34,171 | INFO | Starting autotrader at 1662262774.1713026
2022-09-03 23:39:34,171 | INFO | Starting autotrader at 1662262774.1713026
2022-09-03 23:39:38,535 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-03 23:39:38,535 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-03 23:39:38,536 | INFO | _connect called
2022-09-03 23:39:38,536 | INFO | _connect called
2022-09-03 23:44:46,059 | INFO | Starting autotrader at 1662263086.0591598
2022-09-03 23:44:46,059 | INFO | Starting autotrader at 1662263086.0591598
2022-09-03 23:44:50,787 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-03 23:44:50,787 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-03 23:44:50,787 | INFO | _connect called
2022-09-03 23:44:50,787 | INFO | _connect called
2022-09-04 00:16:36,384 | INFO | Starting autotrader at 1662264996.3844256
2022-09-04 00:16:36,384 | INFO | Starting autotrader at 1662264996.3844256
2022-09-04 00:16:41,019 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-04 00:16:41,019 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-04 00:16:41,019 | INFO | _connect called
2022-09-04 00:16:41,019 | INFO | _connect called
2022-09-04 00:21:53,274 | INFO | Starting autotrader at 1662265313.2741525
2022-09-04 00:21:53,274 | INFO | Starting autotrader at 1662265313.2741525
2022-09-04 00:21:57,719 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-04 00:21:57,719 | INFO | Subscribing to {'channel': 'ticker', 'market': 'ADA-PERP'}
2022-09-04 00:21:57,719 | INFO | _connect called
2022-09-04 00:21:57,719 | INFO | _connect called
2022-09-04 04:04:48,291 | ERROR | Error with parse: Please retry request
2022-09-04 04:04:48,291 | ERROR | Error with parse: Please retry request
2022-09-04 07:21:39,340 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:39,340 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:40,875 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:40,875 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:42,241 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:42,241 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:43,790 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:43,790 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:45,219 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:45,219 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:46,991 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:46,991 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:48,580 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:48,580 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:49,913 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
2022-09-04 07:21:49,913 | ERROR | Error with position parser: cannot unpack non-iterable NoneType object
